KSM Address,QTZ Address,QTZ Total Amount,Transferrable Amount,TGE Block,Lock blocks,Vesting Blocks,Amount per block,Transfer tx hash,Vesting tx hash
F84P7wHg1wncQJTykc5wZLv1cEtVBwoCQkdJbPQkDpVWqoc,yGFHFLZv1vP8c9ytfCbCpQYMBDQeuJVCyoTGJeUmYP2tLvWGQ,90000,1,10457457,2592000,2592000,34721836419753086,0xabef4a14237c623a362118e00997a0d2c4e5b90237afd8d70b947d1ef1b97878,0x02797d21507344ddec61cb536920f78fd3fbd709be06458cef0a434c3e3102e2
EodrhQPemCjdDm9yY9M3dPLw5x5Q3MGwScFgvwgZqQFH8Mh,yGExpp9P7u8PZAoMMCNk5WcPc8tN6DLcTYV7w2pKpCeU6hBgo,10000,1,10457457,2592000,2592000,3857638888888888,0xc4f3b10b7e722ed6f5f996831adf430f49b8870eb75247008d542a5b283a5082,0x7c90c1254b64348d815f1be000e2699634d8321845312220a1173c2408616f3e
Hbpkb1ced6zhoc8qbZ7b2WRXCFChPwE9Fte8pA5KKmtGs72,yGHm1i2zLtzHpFPCL4S9r41WgizfDWhCQkJQKUhYCx8qjgvHv,20000,1,10457457,2592000,2592000,7715663580246913,0xd883d5b7a845da528ff87ccb6e22f6e9e5befd093b3d78fe3c8d5170efe8d264,0xf88b0a4a9bc690ca2da10918ca167b5465e741b54b205ef8adac8729041f302f
HA94Rzz3UKEQBexsSEedQe9nTpo4NAM2APvxXbj6hzM64sS,yGHKL1syiHqW3wmFA6GqP6PeQzGEosfRXdCucJQyrjX4CWBdE,50000,1,10457457,2592000,2592000,19289737654320987,0xafd21e81667e8f64605b2faa464c95ff8dc17586628e8c3cbf03505b8acbdd4a,0xef2157e1aca2d0e76780e16b61804fad58ba3cb27ccc7ef960382d0e597a50fe
HsDomCHYgfWCTTi2LcFeJxUKLMNLWzPtpUCFW5uLx2KkqiV,yGJ2QmDB1o3rKk33uFBCz7HxjX8mP9pFaVrysbPU2ym6BAVhP,45000,1,10457457,2592000,2592000,17360725308641975,0x0e9af332fe4846fb2fde65b3f0b0aed8ec83eeb5c83c04b07589a4e17144c004,0x6ae0dbe14e0fd94e67ca34af7c2a413b982c48cc6365e9429084e21aa0b1a434
H7pDgZLQPdCQoySsJSS8Hvkydmpnud9jPWSaqYiMD5VHsRa,yGHH1B8Y4ekp1xPZe693AbGw2BSBqcCtLLS27vivqz29LhYCU,10000,1,10457457,2592000,2592000,3857638888888888,0xbc4a5b46e50eb0e50f27f0c3a07c902734ac762f4231cc7cfe34f547d2bc4d9a,0x7aa9fead48b16ef5270cbe98f79a74ac076ebc1b0052c17b2c50084035e302d7
GFtQPccdXbeNtourDCuGhVio25qCTVzmNU6ar9M72LVTTMj,yGGR5MqbLstnTvUQ753odjgVyzpVr1kmBNQymvjXUjqQLsJ9j,192000,1,10457457,2592000,2592000,74073688271604938,0xbff9cd2e0c52513181a4eae94039d983d43c0112bb4fc7f94c4b4cf19c1c722c,0xa373894d3f6463cc949ad557684cfea00a686141e3636efe1ca7a5d78076edd2
J3ei7h3r6PxazaQNDyLRZ2S1uaZNv5aHvbrULqXCkXKTJEt,yGJCqfZfn6Tan8aAbb4a4tY2hDhzaCDLkty7XpEDeqZbAsHFz,20000,1,10457457,2592000,2592000,7715663580246913,0xbad6eac498987e91b89cd562584b8b462b518994c20c12101f9a2e19a8e1aa22,0x131dd5f40e28aa457098f0ab497152e181736cc976653f908aac49c81a4af1c9
Ekr17YDF7pjHY4gtNKhQrZq41JyQtfyVBehBuutvc317qtE,yGEv2xZWwVV1Yq7et7CvRsqa6FoizEBwA6EANXoJ2ZR6rXyw3,972223,1,10457457,2592000,2592000,375085648148148148,0x1211b03071712a396bbaa872d5b24fc378f9b18f8b1e9d826f1ecca8533c90fe,0x87eac821ffef669e8ceca4dd5dc06e232115a7b81663340de5edc62c623562f9
FFdavNS2Lb1QDP4S61fsH94Hgd9RvVthWtYFDWLpa8Hth7c,yGFQpYNMAGhmpwnyFevcQLG9KVV3AFDm5JZQDb6tUTPC9Jhj6,210000,1,10457457,2592000,2592000,81018132716049382,0xceaf88b602ef93db9ec161f478e478083acc7efb9bc36cb9984df1b18a421fa5,0x14bb77ec3bd11770e61d8da46e20e46443c6cb5fdf23c27f2f4015d781d96cee
EAgNbhD6R9EyZRRcj5XTu4PEEAHsgWubKjcfUQNac7Z3VGK,yGEKsL3fwLnL4X91cqZgFvt4eS2aJgyn6CNFJ1MnWDRBQTNUK,180000,1,10457457,2592000,2592000,69444058641975308,0xbba3705a447c89b8ad2c9735f4f1f4180fe79aeb0a75a06d8f3b204954d67d84,0x95134ace96332ba0520a83568ddc1cee2e01c451556a9a7b904d37ca03017f95
