KSM Address,QTZ Address,QTZ Total Amount,Transferrable Amount,TGE Block,Lock blocks,Vesting Blocks,Amount per block,Transfer tx hash,Vesting tx hash
DGgd4x6sLzp7M4qhZCo4SXv5jR11k3PZeRxUJzmaV3TZ4e4,yGDRsaWvq7iBdevf2vPoXXRYBHXq1q3JaAgwdpCNuDJ7Jy5Ea,30000,30000,10457457,0,0,0,0xc4c73a7dd7fcb7876b0136ab9d7a32a5f5f821619fa0ac95d894072f29b0f539,
J4ZSLC9tEvzMKhQTy8RMPsw3d39co4yYCwnxovHEr2kjuQr,yGJDkPnAt8c7otuHbgoj9pNtCFRTAS6LA9FTUJhJQsf6c9xNP,18000,18000,10457457,0,0,0,0x6ec289710619298a34c0765cb87fb86187088c7bd1eb5e840ea68623c41f855e,
CxRJ2jVXKDTf2u27YzdoYkrCwSP1K3LA9b3UviCQUmGg2jg,yGD7cFUiDmgQHCcVDLPbNGXm7QjrPpcJWmC6ipp6L3Hq8623t,12000,12000,10457457,0,0,0,0x4557d7efd7e538be0d850bec0297c6f38f5467f781394655b2bdbb8061aa6b58,
EtmPJc2YaY63JmA9GzM8jeqYa53qqXAPmBHfpzw1TprYivq,yGF3xLkaknwiuatMMN7b5bif6kNV4f8nLzogy1iP4eGthxQUS,30000,30000,10457457,0,0,0,0xfc51e835d2083526ab3a039bbd080b98b5e7aa8297088d5592a4f5a0515cc082,
EScYZai9nwR9hntEimmbza5GdnszsMDftGWabCMokCJx49o,yGEboW1ZSQA8EhHP5TZNW4yaLUSCtpAcQGvnBvUaVSZGAN6YF,12000,12000,10457457,0,0,0,0xf97118a1c12a075dc86421e819cfcca1fa33a6bfa20f574e80ec403e7f054e62,
HhVrE5gpT2F4uWCPdCKnxwq97ppgmDxAyGAy2DdvQYjFXAM,yGHrgog4R4pD4cV6PcTo4Fwx6LvEqW4V8n1mrJubmZDcafdET,30000,30000,10457457,0,0,0,0x1105b3aceb488f640bb24d63e8e9a4add3c5a2a4a0cb35ffafd04b65fa337ab4,
DrtovYf5BPHfFox2oMRb1n6wMmYYWBXF1HqXegWdbMHegzF,yGE25mNXPKYa7CqQ9FdxA3znN9ABZMoShr3oWsY4eGQR94jkS,15000,15000,10457457,0,0,0,0xf7cca347255ee14315c2360af57db752d28ebba2c99a9359debb80de257bad5d,
Gkt7yNtKrG5DGas1p8YXs42K4pNRcK6a1mXigPqTuM6sjTx,yGGv55RMcaDStkrB4EejGzr4HWsEPEuaHB4HD4Zmy6iQxHSzh,12000,12000,10457457,0,0,0,0xa68c06c50e05e05a514a80cb516c9201f177512af5c10025b813d74bea36885b,
DcfcCcxTCP4uEipqHuNJNmAkLw8P7YEuGavhcS9rygfDyBW,yGDmrZebghZZtSpK248W6mMmRx9M9CQoRWK6c3VpHVnkWdsAV,1,1,10457457,0,0,0,0xcd19d6c4b39ec40a95b5e8179e395715f834599cde6b4f8c5774596ee2a6e5d2,
HLajF8Sw1rQdnrM4wguiTj1WETJjRPzAQVo8doj2XoK678q,yGHVmgh7BBP3EBNSYHnHeBSjGi2sKYifAmT1UUXBrfLsAVygZ,1,1,10457457,0,0,0,0x2b84886742b69af61c989b8eddb9986065b48e749b0b5a03f90686341de75e06,
