KSM Address,QTZ Address,QTZ Total Amount,Transferrable Amount,TGE Block,Lock blocks,Vesting Blocks,Amount per block,Transfer tx hash,Vesting tx hash
DmUj4oKcJco5n4WbgBu68sgv6S9pHv7qFQbppZHrshfsiPQ,yGDvfgWn3rfocdMehpWndZ7sx7trAdbBJSHvHAhwRVgmXHcfF,57530,1,10457457,432000,2592000,22194830246913580,0xba2c365a097b2428f6d5a314ba97ebf7c68e462e37472736a7f09a8d4e5e63aa,0x99b81bac05ae6343987ed197b1d04dc90a7cebf0834a59533cb1a6d25e89d40e
EiRsoDXoYZo2TDqiWxZQrdd13xAK6hz8bRvrSHY1Zv9FakE,yGEscqFCG3ukca2p2wMZHsqdtCrNB8PyAjdwcCKffeNyzfDvq,5752,1,10457457,432000,2592000,2218750000000000,0xd792ee6dadde04990040610ea20de0eaefa4cf52599709e76ad4370ff15c91e1,0x2d3088c3acb49bcd6a8827e6c94edad4504712656739b9bb84145f9c7f805f3d
HFPshgEqPKh6gFiCinaHUdTkPTX1kFMMjn6sr7RbyP3MwWw,yGHQaq9ey5kWWeFquRZPJkTdixBsXq3WXxnHnDjVZEnStmpC9,2876,1,10457457,432000,2592000,1109182098765432,0xf1230ed8ca78efab6cf6217e6a43d326f086e05bdb7316522c6c0a5d837fffa2,0x9bcf5df1a1088cdb09a0f71bd3f4eb712c415650173dab2b94a41bd39b014a47
EM82f3pCJ3eLqczgsy8MPJYmTroWXgfqt3V8mG31V4SHEZV,yGEWJz72YSfETtRDBuiZrpNJoyGGpKpwrSvZAUeeAeJ8HhG2V,354028,1,10457457,432000,2592000,136584490740740740,0x0ba44c7cf086ceab5c4a036fa1a2617d7876784c310ebc03e68374969531bd7d,0xd4dbbc15ff0ea619062a9314c4d87505dfa6f21d98bc4b3ef45c357ab6e34c71
CbH3Cw7qt8DWMQE1gLYyKnsxGJ6aUG8EdK4csDCc9TqibxR,yGCkTzeur6FK33vzREWwHSJo9A4i7PmXJqfpjxkbLExXh8UJq,9204,1,10457457,432000,2592000,3550540123456790,0xb4d328e57c6583f39bc5165826870ff3dd7c6d9cf7505a5e40e85d36fb05ec88,0x63380b25ef49994766ce92b9191b1efe1687afc73941b371449be5d235436e75
FG7ehhvUDgH2sY9pc38gzfgwGMGd2AMMLo5tiaaZFXtGoqb,yGFRJc9geias6aT8M3Sds9yfx94mHSKRXxPJmEbxiC4bjga6E,11505,1,10457457,432000,2592000,4438271604938271,0xef94a089048b62375807a11fdeaac13ce31662e2b659b55f585653be84df61cd,0x0b96b0749649aa29a1bd66a842c02fb115397087857fd18ed2d7f7e3ab10e729
EPM4TJz4gLULWLMEtozZznhigyARb5eMggruq8N7ufGhJyj,yGEYY1uHiK3XHt5vYTjQj2ynxvVPBEtLpxjCYFiWVkij87JTj,57530,1,10457457,432000,2592000,22194830246913580,0x0ecbf036e926a6ed069809e621342e9317531ee65bc2ac40739f96bbb1f59112,0x658b058be7f46a0e624d386a2f55ac9066f232501d484a59b52fd6212eb1845c
EPk8SE5EgFrWqmbENZVQpMWJ8YYd8qSWrSyAV8wzSzfZ8Lm,yGEYw5tCoV3Sg4RMnTDADsoMmVvxZSS6d7txeWNX5dG4WxvR1,8059,1,10457457,432000,2592000,3108796296296296,0x04beb472829ab5f781c2b0c464986799219a9710688c9c4b64a9d7a85ad49fb2,0x2eb69ef6e5786372b9a0a57d6da6cf4873a814a734f7d177d10dcd1c8fcaa14c
EoF78cHnUQ6wobpEQwfHSMoDcZTtw851VDtMQE5D8BQ7K9H,yGExS4ab22qavVPC1TFYPkRN4RQyUiEPFcXjZhHcCqwFFX1Cy,5752,1,10457457,432000,2592000,2218750000000000,0xa9c379c2a5edeb93e925ed0b59917884a806f5f6c3d28be860ae0cc6baf092bd,0x72e23459adc7536c206d0e9645ff262eeff6bbf19a19329ee3b6215a730a5093
JBmdskKvQQPSKkBtAaCAF9dAkHZfVWMAYrGMZ2R9kDS217L,yGJLxbKj4AmbCyuLP71AvdE9tNYhaUnmXmbMwhSQYnZHHS68c,2876,1,10457457,432000,2592000,1109182098765432,0x2128665142e3c7866f744fb2b4d6c8fe279ff07f9286700c676eaee4da4229a1,0x3d2e618ea0d80949f1e60ebda5671f4b03ab3540a27129c31e995a5897781727
